title,release_date,critic_score,audience_score,release_year,movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
Love Story,"Released Dec 16, 1970",0.63,0.75,1970,tt0066011,Love Story,1970,PG,100 min,"Drama, Romance",6.9,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,Arthur Hiller,/name/nm0002137/,"Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland","/name/nm0532298/,/name/nm0641939/,/name/nm0549134/,/name/nm0001537/",35371.0,106400000.0
Airport,"Released Apr 5, 1970",0.75,0.54,1970,tt0065377,Airport,1970,G,137 min,"Action, Drama, Thriller",6.6,"A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.","George Seaton, 
Henry Hathaway",/name/nm0780833/,"Burt Lancaster, 
Dean Martin, 
George Kennedy, 
Jean Seberg","/name/nm0368871/,/name/nm0000044/,/name/nm0001509/,/name/nm0001421/,/name/nm0781029/",19658.0,100489150.0
M*A*S*H,"Released Jan 30, 1970",0.84,0.83,1970,tt0066026,M*A*S*H,1970,R,116 min,"Comedy, Drama, War",7.4,The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,Robert Altman,/name/nm0000265/,"Donald Sutherland, 
Elliott Gould, 
Tom Skerritt, 
Sally Kellerman","/name/nm0000661/,/name/nm0001285/,/name/nm0000643/,/name/nm0001419/",74242.0,81600000.0
Patton,"Released Jan 25, 1970",0.91,0.93,1970,tt0066206,Patton,1970,GP,172 min,"Biography, Drama, War",7.9,The World War II phase of the career of controversial American general George S. Patton.,Franklin J. Schaffner,/name/nm0769874/,"George C. Scott, 
Karl Malden, 
Stephen Young, 
Michael Strong","/name/nm0001715/,/name/nm0001500/,/name/nm0950079/,/name/nm0835021/",103761.0,61700000.0
Little Big Man,"Released Dec 14, 1970",0.91,0.87,1970,tt0065988,Little Big Man,1970,PG-13,139 min,"Adventure, Comedy, Drama",7.6,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Native Americans and fighting with General Custer.",Arthur Penn,/name/nm0671957/,"Dustin Hoffman, 
Faye Dunaway, 
Chief Dan George, 
Martin Balsam","/name/nm0000163/,/name/nm0001159/,/name/nm0313381/,/name/nm0000842/",36206.0,31559552.0
Ryan's Daughter,"Released Nov 9, 1970",0.47,0.73,1970,tt0066319,Ryan's Daughter,1970,R,200 min,"Drama, Romance",7.4,"Set in the wake of the 1916 Easter Rising, a married woman in a small Irish village has an affair with a troubled British officer.",David Lean,/name/nm0000180/,"Robert Mitchum, 
Trevor Howard, 
John Mills, 
Christopher Jones","/name/nm0000053/,/name/nm0002145/,/name/nm0590055/,/name/nm0427756/",10108.0,30846306.0
Tora! Tora! Tora!,"Released Sep 23, 1970",0.55,0.81,1970,tt0066473,Tora! Tora! Tora!,1970,G,144 min,"Action, Drama, History",7.5,"The story of the 1941 Japanese air raid on Pearl Harbor, and the series of preceding American blunders that aggravated its effectiveness.","Richard Fleischer, 
Kinji Fukasaku, 
Toshio Masuda, 
Akira Kurosawa",/name/nm0281507/,"Martin Balsam, 
Sô Yamamura, 
Jason Robards, 
Joseph Cotten","/name/nm0297935/,/name/nm0557927/,/name/nm0000041/,/name/nm0000842/,/name/nm0945522/,/name/nm0001673/,/name/nm0001072/",35246.0,29548291.0
Catch-22,"Released Jun 24, 1970",0.81,0.76,1970,tt0065528,Catch-22,1970,R,122 min,"Comedy, Drama, War",7.1,"A man is trying desperately to be certified insane during World War II, so he can stop flying missions.",Mike Nichols,/name/nm0001566/,"Alan Arkin, 
Martin Balsam, 
Richard Benjamin, 
Art Garfunkel","/name/nm0000273/,/name/nm0000842/,/name/nm0000907/,/name/nm0307316/",25503.0,24911670.0
Scream and Scream Again,1970,0.63,0.28,1970,tt0064949,Scream and Scream Again,1970,R,95 min,"Crime, Drama, Horror",5.5,A serial killer who drains his victims' blood is on the loose in London. The police follow him to a house owned by an eccentric scientist.,Gordon Hessler,/name/nm0381638/,"Vincent Price, 
Christopher Lee, 
Peter Cushing, 
Alfred Marks","/name/nm0001637/,/name/nm0000489/,/name/nm0001088/,/name/nm0548767/",4073.0,376600.0
The Dunwich Horror,"Released Jan 14, 1970",0.29,0.29,1970,tt0065669,The Dunwich Horror,1970,R,90 min,Horror,5.4,"Wilbur Whateley travels to the Arkham Miskatonic University to borrow the legendary Necronomicon. But, little does anyone know, Whateley isn't quite human...",Daniel Haller,/name/nm0356396/,"Sandra Dee, 
Dean Stockwell, 
Ed Begley, 
Lloyd Bochner","/name/nm0000364/,/name/nm0001777/,/name/nm0003225/,/name/nm0001957/",4660.0,446400.0
Rider on the Rain,1970,0.8,0.63,1970,tt0064791,Rider on the Rain,1970,PG-13,115 min,"Crime, Drama, Mystery",6.7,A US Army colonel in France tries to track down an escaped sex maniac.,René Clément,/name/nm0167496/,"Charles Bronson, 
Jill Ireland, 
Marlène Jobert, 
Gabriele Tinti","/name/nm0000314/,/name/nm0409866/,/name/nm0423381/,/name/nm0864081/",3394.0,708382.0
The Molly Maguires,"Released Feb 8, 1970",0.9,0.62,1970,tt0066090,The Molly Maguires,1970,M,124 min,"Drama, History",6.8,"In 1876 Pennsylvania, a group of Irish immigrant coal miners begin to retaliate against the cruelty of their work environment.",Martin Ritt,/name/nm0728688/,"Sean Connery, 
Richard Harris, 
Samantha Eggar, 
Frank Finlay","/name/nm0000125/,/name/nm0001321/,/name/nm0002058/,/name/nm0277975/",4070.0,215894.0
The Honeymoon Killers,"Released Feb 4, 1970",0.95,0.69,1970,tt0064437,The Honeymoon Killers,1970,R,107 min,"Crime, Drama, Romance",7.0,"An obese, embittered nurse doesn't mind if her toupee-wearing boyfriend romances and fleeces other women, as long as he takes her along on his con jobs.","Leonard Kastle, 
Martin Scorsese, 
Donald Volkman",/name/nm0440980/,"Shirley Stoler, 
Tony Lo Bianco, 
Mary Jane Higby, 
Doris Roberts","/name/nm0000217/,/name/nm0901485/,/name/nm0831471/,/name/nm0516215/,/name/nm0383275/,/name/nm0005368/",5451.0,463814.0
Start the Revolution Without Me,"Released Feb 4, 1970",0.83,0.77,1970,tt0066402,Start the Revolution Without Me,1970,M,90 min,"Comedy, History",6.4,"Two mismatched sets of identical twins, one aristocrat, one peasant, mistakenly exchange identities on the eve of the French Revolution.",Bud Yorkin,/name/nm0005570/,"Gene Wilder, 
Donald Sutherland, 
Hugh Griffith, 
Jack MacGowran","/name/nm0000698/,/name/nm0000661/,/name/nm0341518/,/name/nm0532290/",2923.0,
Hercules in New York,"Released Feb 25, 1970",0.14,0.27,1970,tt0065832,Hercules in New York,1970,G,92 min,"Adventure, Comedy, Fantasy",3.3,Hercules is sent to Earth where he finds true love and starts a promising career in the bodybuilder business.,Arthur Allan Seidelman,/name/nm0782381/,"Arnold Stang, 
Arnold Schwarzenegger, 
Deborah Loomis, 
James Karen","/name/nm0822205/,/name/nm0000216/,/name/nm0519678/,/name/nm0439170/",18690.0,
The Ballad of Cable Hogue,"Released May 13, 1970",0.94,0.81,1970,tt0065446,The Ballad of Cable Hogue,1970,R,121 min,"Comedy, Drama, Romance",7.2,"A hobo accidentally stumbles onto a water spring, and creates a profitable way station in the middle of the desert.",Sam Peckinpah,/name/nm0001603/,"Jason Robards, 
Stella Stevens, 
David Warner, 
Strother Martin","/name/nm0001673/,/name/nm0001771/,/name/nm0001831/,/name/nm0001510/",10015.0,3500000.0
