title,release_date,critic_score,audience_score,release_year,movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner
Love Story,"Released Dec 16, 1970",0.63,0.75,1970,tt0066011,Love Story,1970,PG,100 min,"Drama, Romance",6.9,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,Arthur Hiller,/name/nm0002137/,"Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland","/name/nm0532298/,/name/nm0641939/,/name/nm0549134/,/name/nm0001537/",35371.0,106400000.0,43,1970,Acting,ACTOR IN A LEADING ROLE,ACTOR,an0055880,Love Story,tt0066011,Ryan O'Neal,Ryan O'Neal,nm0641939,
Love Story,"Released Dec 16, 1970",0.63,0.75,1970,tt0066011,Love Story,1970,PG,100 min,"Drama, Romance",6.9,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,Arthur Hiller,/name/nm0002137/,"Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland","/name/nm0532298/,/name/nm0641939/,/name/nm0549134/,/name/nm0001537/",35371.0,106400000.0,43,1970,Acting,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,an0055890,Love Story,tt0066011,John Marley,John Marley,nm0549134,
Love Story,"Released Dec 16, 1970",0.63,0.75,1970,tt0066011,Love Story,1970,PG,100 min,"Drama, Romance",6.9,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,Arthur Hiller,/name/nm0002137/,"Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland","/name/nm0532298/,/name/nm0641939/,/name/nm0549134/,/name/nm0001537/",35371.0,106400000.0,43,1970,Acting,ACTRESS IN A LEADING ROLE,ACTRESS,an0055883,Love Story,tt0066011,Ali MacGraw,Ali MacGraw,nm0532298,
Love Story,"Released Dec 16, 1970",0.63,0.75,1970,tt0066011,Love Story,1970,PG,100 min,"Drama, Romance",6.9,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,Arthur Hiller,/name/nm0002137/,"Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland","/name/nm0532298/,/name/nm0641939/,/name/nm0549134/,/name/nm0001537/",35371.0,106400000.0,43,1970,Directing,DIRECTING,DIRECTING,an0055899,Love Story,tt0066011,Arthur Hiller,Arthur Hiller,nm0002137,
Love Story,"Released Dec 16, 1970",0.63,0.75,1970,tt0066011,Love Story,1970,PG,100 min,"Drama, Romance",6.9,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,Arthur Hiller,/name/nm0002137/,"Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland","/name/nm0532298/,/name/nm0641939/,/name/nm0549134/,/name/nm0001537/",35371.0,106400000.0,43,1970,Music,MUSIC (Original Score),MUSIC (Original Score),an0055943,Love Story,tt0066011,Francis Lai,Francis Lai,nm0006162,True
Love Story,"Released Dec 16, 1970",0.63,0.75,1970,tt0066011,Love Story,1970,PG,100 min,"Drama, Romance",6.9,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,Arthur Hiller,/name/nm0002137/,"Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland","/name/nm0532298/,/name/nm0641939/,/name/nm0549134/,/name/nm0001537/",35371.0,106400000.0,43,1970,Title,BEST PICTURE,BEST PICTURE,an0055874,Love Story,tt0066011,"Howard G. Minsky, Producer",Howard G. Minsky,nm0591667,
Love Story,"Released Dec 16, 1970",0.63,0.75,1970,tt0066011,Love Story,1970,PG,100 min,"Drama, Romance",6.9,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.,Arthur Hiller,/name/nm0002137/,"Ali MacGraw, 
Ryan O'Neal, 
John Marley, 
Ray Milland","/name/nm0532298/,/name/nm0641939/,/name/nm0549134/,/name/nm0001537/",35371.0,106400000.0,43,1970,Writing,WRITING (Original Screenplay),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),an0055909,Love Story,tt0066011,Erich Segal,Erich Segal,nm0781777,
Airport,"Released Apr 5, 1970",0.75,0.54,1970,tt0065377,Airport,1970,G,137 min,"Action, Drama, Thriller",6.6,"A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.","George Seaton, 
Henry Hathaway",/name/nm0780833/,"Burt Lancaster, 
Dean Martin, 
George Kennedy, 
Jean Seberg","/name/nm0368871/,/name/nm0000044/,/name/nm0001509/,/name/nm0001421/,/name/nm0781029/",19658.0,100489150.0,43,1970,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an0055891,Airport,tt0065377,Helen Hayes,Helen Hayes,nm0371040,True
Airport,"Released Apr 5, 1970",0.75,0.54,1970,tt0065377,Airport,1970,G,137 min,"Action, Drama, Thriller",6.6,"A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.","George Seaton, 
Henry Hathaway",/name/nm0780833/,"Burt Lancaster, 
Dean Martin, 
George Kennedy, 
Jean Seberg","/name/nm0368871/,/name/nm0000044/,/name/nm0001509/,/name/nm0001421/,/name/nm0781029/",19658.0,100489150.0,43,1970,Acting,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,an0055895,Airport,tt0065377,Maureen Stapleton,Maureen Stapleton,nm0822972,
Airport,"Released Apr 5, 1970",0.75,0.54,1970,tt0065377,Airport,1970,G,137 min,"Action, Drama, Thriller",6.6,"A bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.","George Seaton, 
Henry Hathaway",/name/nm0780833/,"Burt Lancaster, 
Dean Martin, 
George Kennedy, 
Jean Seberg","/name/nm0368871/,/name/nm0000044/,/name/nm0001509/,/name/nm0001421/,/name/nm0781029/",19658.0,100489150.0,43,1970,Production,ART DIRECTION,ART DIRECTION,an0055917,Airport,tt0065377,"Art Direction: Alexander Golitzen, E. Preston Ames; Set Decoration: Jack D. Moore, Mickey S. Michaels","Alexander Golitzen, E. Preston Ames, Jack D. Moore, Mickey S. Michaels","nm0326529,nm0024694,nm0601301,nm0584446",
