title,release_year,genre,critic_score,audience_score,score_diff
10,1979,Comedy,0.68,0.56,0.12
10,1979,Romance,0.68,0.56,0.12
102 Dalmatians,2000,Adventure,0.3,0.32,-0.020000000000000018
102 Dalmatians,2000,Comedy,0.3,0.32,-0.020000000000000018
102 Dalmatians,2000,Family,0.3,0.32,-0.020000000000000018
12 Monkeys,1995,Mystery,0.88,0.88,0.0
12 Monkeys,1995,Sci-Fi,0.88,0.88,0.0
12 Monkeys,1995,Thriller,0.88,0.88,0.0
12 Years a Slave,2013,Biography,0.9499999999999998,0.8999999999999999,0.04999999999999993
12 Years a Slave,2013,Drama,0.9499999999999998,0.8999999999999999,0.04999999999999993
12 Years a Slave,2013,History,0.9499999999999998,0.8999999999999999,0.04999999999999993
1776,1972,Drama,0.68,0.84,-0.15999999999999992
1776,1972,Family,0.68,0.84,-0.15999999999999992
1776,1972,History,0.68,0.84,-0.15999999999999992
1941,1979,Action,0.38999999999999996,0.48,-0.09000000000000002
1941,1979,Comedy,0.38999999999999996,0.48,-0.09000000000000002
1941,1979,War,0.38999999999999996,0.48,-0.09000000000000002
2001: A Space Odyssey,1968,Adventure,0.92,0.89,0.030000000000000027
2001: A Space Odyssey,1968,Sci-Fi,0.92,0.89,0.030000000000000027
3:10 to Yuma,2007,Action,0.89,0.86,0.030000000000000027
3:10 to Yuma,2007,Crime,0.89,0.86,0.030000000000000027
3:10 to Yuma,2007,Drama,0.89,0.86,0.030000000000000027
A Beautiful Day in the Neighborhood,2019,Biography,0.95,0.92,0.029999999999999916
A Beautiful Day in the Neighborhood,2019,Drama,0.95,0.92,0.029999999999999916
A Better Life,2011,Drama,0.86,0.79,0.06999999999999995
A Better Life,2011,Romance,0.86,0.79,0.06999999999999995
A Bug's Life,1998,Animation,0.92,0.73,0.19000000000000006
A Bug's Life,1998,Adventure,0.92,0.73,0.19000000000000006
A Bug's Life,1998,Comedy,0.92,0.73,0.19000000000000006
A Fish Called Wanda,1988,Comedy,0.96,0.84,0.12
A Fish Called Wanda,1988,Crime,0.96,0.84,0.12
A History of Violence,2005,Action,0.88,0.76,0.12
