title,release_date,critic_score,audience_score,release_year
Love Story,"Released Dec 16, 1970",0.63,0.75,1970
Airport,"Released Apr 5, 1970",0.75,0.54,1970
M*A*S*H,"Released Jan 30, 1970",0.84,0.83,1970
Patton,"Released Jan 25, 1970",0.91,0.93,1970
The Aristocats,"Released Dec 24, 1970",0.64,0.7,1970
Woodstock,"Released Mar 26, 1970",1.0,0.92,1970
Little Big Man,"Released Dec 14, 1970",0.91,0.87,1970
Ryan's Daughter,"Released Nov 9, 1970",0.47,0.73,1970
Tora! Tora! Tora!,"Released Sep 23, 1970",0.55,0.81,1970
Catch-22,"Released Jun 24, 1970",0.81,0.76,1970
Scream and Scream Again,1970,0.63,0.28,1970
The Dunwich Horror,"Released Jan 14, 1970",0.29,0.29,1970
Days and Nights in the Forest,1970,1.0,0.97,1970
Rider on the Rain,1970,0.8,0.63,1970
The Molly Maguires,"Released Feb 8, 1970",0.9,0.62,1970
The Honeymoon Killers,"Released Feb 4, 1970",0.95,0.69,1970
Start the Revolution Without Me,"Released Feb 4, 1970",0.83,0.77,1970
Zabriskie Point,"Released Feb 9, 1970",0.64,0.74,1970
The Bird With the Crystal Plumage,"Released Jun 12, 1970",0.85,0.8,1970
Hercules in New York,"Released Feb 25, 1970",0.14,0.27,1970
The Butcher,"Released Sep 12, 1970",1.0,0.84,1970
The Boys in the Band,2020,0.84,0.74,2020
The Boys in the Band,"Released Mar 17, 1970",0.9,0.87,1970
The Ballad of Cable Hogue,"Released May 13, 1970",0.94,0.81,1970
The Liberation of L.B. Jones,"Released Mar 18, 1970",0.63,0.92,1970
Bloody Mama,"Released Mar 24, 1970",0.14,0.42,1970
Waterloo,1970,0.3,0.83,1970
Gods of the Plague,1970,0.83,0.47,1970
"Hi, Mom","Released Apr 27, 1970",0.73,0.55,1970
Taste the Blood of Dracula,1970,0.54,0.54,1970
"Tell Me That You Love Me, Junie Moon","Released May 11, 1970",0.22,0.12,1970
Getting Straight,1970,0.33,0.41,1970
Let It Be,"Released May 13, 1970",0.81,0.88,1970
The Landlord,"Released May 20, 1970",0.93,0.79,1970
Too Late the Hero,1970,0.57,0.7,1970
Beneath the Planet of the Apes,"Released May 26, 1970",0.37,0.38,1970
Watermelon Man,1970,0.88,0.7,1970
Two Mules for Sister Sara,1970,0.71,0.73,1970
Crimes of the Future,1970,0.67,0.29,1970
Beyond the Valley of the Dolls,"Released Jun 17, 1970",0.76,0.72,1970
On a Clear Day You Can See Forever,"Released Jun 17, 1970",1.0,0.75,1970
Kelly's Heroes,"Released Jun 23, 1970",0.79,0.88,1970
Myra Breckinridge,"Released Jun 24, 1970",0.27,0.35,1970
Darling Lili,"Released Jun 24, 1970",0.4,0.69,1970
And Soon the Darkness,1970,0.29,0.63,1970
Games,1967,0.57,0.48,1967
Joe,"Released Jul 15, 1970",0.75,0.64,1970
Cromwell,"Released Oct 26, 1970",0.43,0.69,1970
Something for Everyone,1970,0.83,0.7,1970
Chisum,1970,0.83,0.74,1970
Performance,"Released Aug 3, 1970",0.82,0.78,1970
Diary of a Mad Housewife,"Released Aug 10, 1970",0.82,0.81,1970
Lovers and Other Strangers,"Released Aug 12, 1970",1.0,0.75,1970
Soldier Blue,"Released Aug 12, 1970",0.38,0.71,1970
House of Dark Shadows,"Released Oct 28, 1970",0.43,0.7,1970
The Breach,2022,0.82,0.26,2022
Breach,"Released Feb 16, 2007",0.84,0.67,2007
The Deep End,"Released Aug 1, 2001",0.82,0.59,2001
Bed and Board,"Released Sep 9, 1968",0.76,0.84,1968
Five Easy Pieces,"Released Sep 12, 1970",0.89,0.84,1970
The Vampire Lovers,"Released Oct 22, 1970",0.76,0.6,1970
The American Soldier,1970,0.79,0.55,1970
The Great White Hope,"Released Oct 16, 1970",0.43,0.67,1970
I Never Sang for My Father,"Released Oct 18, 1970",1.0,0.83,1970
The Red Circle,"Released Jan 2, 1970",0.96,0.92,1970
Little Fauss and Big Halsy,1970,0.33,0.47,1970
The Conformist,"Released Oct 22, 1970",0.98,0.9,1970
No Blade of Grass,1970,0.29,0.42,1970
